iterations,volume_fractions,poisson_ratios_v12,poisson_ratios_v21
1,0.377159999999988,0.272235586863931,0.272235586863932
2,0.399975552769611,0.263095961356741,0.263095961356735
3,0.399953209627189,0.281155197921315,0.281155197921309
4,0.399925928247853,0.252772565323447,0.252772565323452
5,0.399931105799561,0.25291093698751,0.252910936987509
6,0.399874185115191,0.205640162369351,0.205640162369354
7,0.399872722943175,0.143634189619909,0.143634189619922
8,0.399896351105763,0.0783327482670401,0.0783327482670828
9,0.399846905506616,0.059008220650531,0.0590082206505688
10,0.399886720014797,0.0208944236840153,0.0208944236840625
11,0.399843674386799,-0.0192491961820696,-0.0192491961821191
12,0.399833415316931,-0.054507727114175,-0.0545077271143126
13,0.399909747120448,-0.0728643113784231,-0.0728643113786913
14,0.399969796249469,-0.110241372736874,-0.110241372736548
15,0.400046959717178,-0.153577220424172,-0.153577220424541
16,0.400087702572974,-0.204552221522117,-0.204552221522274
17,0.400101051990337,-0.252108586243831,-0.252108586244176
18,0.400128626599012,-0.290067323339279,-0.290067323342042
19,0.400191638607035,-0.326813818028158,-0.326813818031861
20,0.40022942386144,-0.360880984506957,-0.360880984515605
21,0.400248406898644,-0.400074302428622,-0.400074302462892
22,0.400272372817933,-0.442063895959572,-0.442063896002257
23,0.400276397964366,-0.470997554572317,-0.470997554588212
24,0.400291823900782,-0.489292887996771,-0.489292888000946
25,0.40027969295482,-0.502352986304915,-0.50235298634512
26,0.400303028009865,-0.512325456706437,-0.512325456680066
27,0.400282335292222,-0.517142107126584,-0.517142107097954
28,0.400307769030136,-0.519552296303814,-0.519552296166946
29,0.400284104630311,-0.521564881539855,-0.521564881412279
30,0.400311325464346,-0.526653209859359,-0.526653209806892
31,0.400286072117759,-0.525799241408674,-0.525799241342798
32,0.400315714984542,-0.529949351032383,-0.529949351363646
33,0.40029095482982,-0.529933002185787,-0.529933002563242
34,0.400322351739769,-0.530513460362131,-0.530513460763647
35,0.400297665133939,-0.530590994772682,-0.530590994958299
36,0.400328295048035,-0.536613963353749,-0.53661396363808
37,0.400304113185959,-0.537850632449652,-0.537850631390364
38,0.400333602819886,-0.544405395318458,-0.54440539538858
39,0.400309916114481,-0.545645593246634,-0.545645593021808
40,0.400338496190272,-0.544119334718904,-0.544119318813523
41,0.400314397335383,-0.546481850859173,-0.546481834422109
